-181.632, 73.588, 2.381,  3.481
-181.626, 73.510, 2.362,  3.514
-181.620, 73.431, 2.355,  3.547
-181.615, 73.353, 2.371,  3.580
-181.609, 73.273, 2.410,  3.613
-181.603, 73.191, 2.433,  3.646
-181.598, 73.110, 2.438,  3.679
-181.593, 73.029, 2.428,  3.712
-181.587, 72.949, 2.414,  3.745
-181.582, 72.869, 2.411,  3.778
-181.578, 72.788, 2.426,  3.811
-181.573, 72.706, 2.451,  3.844
-181.568, 72.624, 2.461,  3.877
-181.563, 72.543, 2.448,  3.910
-181.559, 72.462, 2.430,  3.943
-181.555, 72.381, 2.425,  3.976
-181.550, 72.300, 2.442,  4.009
-181.546, 72.218, 2.481,  4.042
-181.542, 72.134, 2.490,  4.075
-181.538, 72.051, 2.492,  4.108
-181.534, 71.968, 2.499,  4.141
-181.530, 71.885, 2.513,  4.174
-181.527, 71.800, 2.527,  4.207
-181.523, 71.716, 2.529,  4.240
-181.519, 71.632, 2.521,  4.273
-181.516, 71.548, 2.521,  4.306
-181.513, 71.464, 2.534,  4.339
-181.509, 71.379, 2.560,  4.372
-181.506, 71.293, 2.574,  4.405
-181.503, 71.207, 2.569,  4.438
-181.500, 71.122, 2.550,  4.471
-181.497, 71.038, 2.537,  4.504
-181.494, 70.953, 2.543,  4.537
-181.491, 70.868, 2.573,  4.570
-181.488, 70.781, 2.617,  4.603
-181.485, 70.693, 2.627,  4.636
-181.483, 70.605, 2.624,  4.669
-181.480, 70.518, 2.617,  4.702
-181.477, 70.431, 2.613,  4.735
-181.475, 70.344, 2.625,  4.768
-181.473, 70.256, 2.651,  4.801
-181.470, 70.167, 2.651,  4.834
-181.468, 70.079, 2.642,  4.867
-181.466, 69.992, 2.632,  4.900
-181.463, 69.904, 2.637,  4.933
-181.461, 69.815, 2.663,  4.966
-181.459, 69.726, 2.697,  4.999
-181.457, 69.635, 2.698,  5.032
-181.455, 69.546, 2.687,  5.065
-181.453, 69.457, 2.677,  5.098
-181.451, 69.367, 2.680,  5.131
-181.449, 69.277, 2.706,  5.164
-181.448, 69.186, 2.745,  5.197
-181.446, 69.094, 2.753,  5.230
-181.444, 69.003, 2.750,  5.263
-181.442, 68.911, 2.747,  5.296
-181.441, 68.820, 2.749,  5.329
-181.439, 68.727, 2.766,  5.362
-181.438, 68.635, 2.787,  5.395
-181.436, 68.542, 2.792,  5.428
-181.435, 68.449, 2.772,  5.461
-181.433, 68.357, 2.749,  5.494
-181.432, 68.266, 2.738,  5.527
-181.430, 68.175, 2.752,  5.560
-181.429, 68.082, 2.792,  5.593
-181.428, 67.988, 2.832,  5.626
-181.427, 67.893, 2.839,  5.659
-181.425, 67.798, 2.838,  5.692
-181.424, 67.703, 2.850,  5.725
-181.423, 67.608, 2.864,  5.758
-181.422, 67.512, 2.875,  5.791
-181.421, 67.416, 2.880,  5.824
-181.420, 67.320, 2.887,  5.857
-181.419, 67.224, 2.897,  5.890
-181.418, 67.127, 2.905,  5.923
-181.417, 67.030, 2.911,  5.956
-181.416, 66.933, 2.920,  5.989
-181.415, 66.835, 2.930,  6.022
-181.414, 66.737, 2.939,  6.055
-181.413, 66.639, 2.946,  6.088
-181.412, 66.541, 2.955,  6.121
-181.411, 66.442, 2.968,  6.154
-181.410, 66.343, 2.978,  6.187
-181.410, 66.243, 2.984,  6.220
-181.409, 66.144, 2.990,  6.253
-181.408, 66.044, 3.000,  6.286
-181.407, 65.943, 3.010,  6.319
-181.407, 65.843, 3.018,  6.352
-181.406, 65.742, 3.027,  6.385
-181.405, 65.641, 3.036,  6.418
-181.405, 65.539, 3.048,  6.451
-181.404, 65.438, 3.060,  6.484
-181.404, 65.335, 3.066,  6.517
-181.403, 65.233, 3.071,  6.550
-181.402, 65.130, 3.080,  6.583
-181.402, 65.028, 3.092,  6.616
-181.401, 64.924, 3.103,  6.649
-181.401, 64.821, 3.111,  6.682
-181.400, 64.717, 3.120,  6.715
-181.400, 64.612, 3.132,  6.748
-181.399, 64.508, 3.143,  6.781
-181.399, 64.403, 3.151,  6.814
